ra          |dec          |radius          
0.0075    47.2744444444    2.39883291902
0.03625    -6.37472222222    1.54881661891
0.08875    -2.61055555556    1.23026877081
0.09375    -80.7916666667    1.69824365246
0.1    39.5083333333    1.0
0.1    17.225    1.73780082875
0.1    7.84166666667    0.851138038202
0.120833333333    -40.4833333333    1.94984459976
0.158333333333    20.0591666667    0.812830516164
0.159583333333    28.385    1.17489755494
0.15    33.6016666667    0.954992586021
0.184583333333    28.4013888889    0.794328234724
0.195    28.4027777778    1.0
0.220416666667    -47.355    0.977237220956
0.232916666667    -40.7116666667    1.04712854805
0.225    20.345    1.94984459976
0.24125    -33.6116666667    1.20226443462
0.262083333333    -43.33    1.34896288259
0.262083333333    28.9116666667    1.58489319246
0.25    4.46166666667    0.676082975392
0.25    4.51166666667    1.0
0.25    6.22833333333    1.04712854805
0.306666666667    13.1438888889    0.891250938134
0.309583333333    34.6758333333    1.1220184543
0.3    80.6591666667    1.34896288259
0.3    6.32583333333    1.07151930524
0.324166666667    -53.0083333333    1.34896288259
0.328333333333    -27.4183333333    1.1220184543
0.3325    13.1116666667    1.0
0.333333333333    34.5258333333    2.08929613085
0.359166666667    13.1127777778    0.794328234724
0.360833333333    31.4338888889    1.17489755494
0.35    5.35055555556    1.02329299228
0.375833333333    31.4425    1.1220184543
0.375    9.00916666667    0.954992586021
0.400416666667    33.5625    0.43651583224
0.407916666667    23.4847222222    2.34422881532
0.407916666667    26.9227777778    2.34422881532
0.4    3.50611111111    1.31825673856
0.427083333333    23.4947222222    1.58489319246
0.469583333333    -36.85    1.1481536215
0.482083333333    -27.6266666667    1.3803842646
0.487083333333    -15.4502777778    11.7489755494
0.475    17.5502777778    1.02329299228
0.475    40.3169444444    1.20226443462
0.515416666667    -33.4683333333    0.891250938134
0.5    16.585    1.04712854805
0.539583333333    2.94055555556    0.478630092323
0.54375    -43.9752777778    1.47910838817
0.580833333333    12.9719444444    1.20226443462
0.575    27.2052777778    1.25892541179
0.61125    3.35222222222    0.41686938347
0.625    44.9188888889    1.09647819614
0.645    -3.71055555556    1.25892541179
0.668333333333    8.7375    0.691830970919
0.684583333333    -80.3466666667    2.51188643151
0.675    18.8966666667    1.62181009736
0.6925    -52.7683333333    1.51356124844
0.712916666667    31.4875    0.831763771103
0.727083333333    -34.235    1.09647819614
0.75    4.20166666667    1.02329299228
0.772083333333    -42.1783333333    1.04712854805
0.774166666667    -1.91305555556    1.81970085861
0.774166666667    31.0394444444    1.81970085861
0.789583333333    21.9597222222    1.0
0.789583333333    25.1783333333    1.0
0.7925    -54.7494444444    1.58489319246
0.798333333333    15.9655555556    1.47910838817
0.801666666667    -35.9366666667    1.17489755494
0.812916666667    16.1458333333    5.6234132519
0.8    -10.7625    0.870963589956
0.834583333333    29.795    0.831763771103
0.825    8.61166666667    1.58489319246
0.840416666667    22.1027777778    0.954992586021
0.850416666667    -49.7916666667    1.41253754462
0.858333333333    -53.33    1.02329299228
0.85    27.3633333333    1.1220184543
0.884583333333    -10.745    1.28824955169
0.897083333333    23.2002777778    1.90546071796
0.925    15.2169444444    2.51188643151
0.925    4.26694444444    1.28824955169
0.954583333333    7.47916666667    1.77827941004
0.995833333333    20.75    3.71535229097
1.00416666667    -11.1769444444    0.218776162395
1.00708333333    -11.1741666667    1.17489755494
1.025    7.3575    1.07151930524
1.05833333333    -52.9161111111    1.28824955169
1.06125    -50.6466666667    0.831763771103
1.05    10.3133333333    1.3803842646
1.05    10.78    1.41253754462
1.05    22.5966666667    0.977237220956
1.075    6.16333333333    1.07151930524
1.10333333333    31.4736111111    1.58489319246
1.1    5.84027777778    1.81970085861
1.1275    5.19861111111    1.28824955169
1.13666666667    33.5588888889    1.23026877081
1.125    -7.07555555556    2.51188643151
1.125    28.3088888889    1.31825673856
1.16583333333    -45.6283333333    0.870963589956
1.16625    -8.10055555556    1.47910838817
1.17583333333    -30.4833333333    1.1220184543
1.17583333333    26.8319444444    1.1220184543
1.19083333333    -16.0319444444    1.47910838817
1.19541666667    -62.0616666667    1.1481536215
1.175    -1.57833333333    0.676082975392
1.20333333333    -1.49805555556    0.446683592151
1.21375    -54.485    1.04712854805
1.2    17.185    1.17489755494
1.21958333333    -45.4866666667    1.04712854805
1.25083333333    -30.5066666667    0.870963589956
1.25    5.12333333333    1.02329299228
1.27541666667    6.92083333333    1.65958690744
1.27541666667    22.1902777778    1.65958690744
1.28083333333    -50.8216666667    0.870963589956
1.30541666667    -11.5033333333    1.65958690744
1.3    6.25333333333    1.62181009736
1.3    6.77    1.3803842646
1.31875    -16.4783333333    1.3803842646
1.35    5.17833333333    1.09647819614
1.35    5.22833333333    1.17489755494
1.37083333333    32.5311111111    0.794328234724
1.37208333333    -50.27    1.99526231497
1.3725    -49.62    1.3803842646
1.375    53.6366666667    1.44543977075
1.41458333333    -53.8163888889    1.65958690744
1.425    27.4497222222    1.17489755494
1.45    -13.9997222222    1.09647819614
1.48333333333    22.4911111111    1.07151930524
1.495    -36.1366666667    0.870963589956
1.495    -36.115    0.912010839356
1.51666666667    -52.2183333333    0.933254300797
1.5    13.1183333333    0.954992586021
1.5    14.4183333333    1.04712854805
1.53791666667    -50.6466666667    0.575439937337
1.525    19.7466666667    0.933254300797
1.55    54.5466666667    1.1481536215
1.55916666667    8.8875    1.1481536215
1.56416666667    -52.7775    1.62181009736
1.58125    20.2025    0.32359365693
1.58541666667    -41.4933333333    3.2359365693
1.59    17.4286111111    0.676082975392
1.6    -41.5119444444    0.602559586074
1.6125    -13.415    0.870963589956
1.61875    -3.71611111111    1.69824365246
1.62125    -13.4205555556    0.660693448008
1.625    17.2705555556    1.31825673856
1.625    47.8705555556    1.73780082875
1.65    8.35388888889    1.23026877081
1.65    26.1538888889    0.954992586021
1.68333333333    -6.63527777778    0.741310241301
1.68666666667    -6.63722222222    0.724435960075
1.675    5.10388888889    0.954992586021
1.7    8.62055555556    1.90546071796
1.71    19.3211111111    0.912010839356
1.71125    -52.2016666667    1.09647819614
1.72    -50.415    1.34896288259
1.7    41.7483333333    1.20226443462
1.74666666667    -6.95388888889    1.23026877081
1.75    46.6538888889    1.20226443462
1.76541666667    -44.3680555556    1.07151930524
1.75    14.0680555556    0.954992586021
1.77625    -41.3566666667    1.02329299228
1.78166666667    -80.3083333333    1.58489319246
1.79208333333    -21.7866666667    1.86208713666
1.81041666667    -52.62    1.94984459976
1.81666666667    27.7088888889    1.65958690744
1.82    8.30138888889    1.09647819614
1.82166666667    27.6794444444    1.09647819614
1.83083333333    32.6097222222    1.77827941004
